Brand,Ram,Jenis_Storage,Storages,Processor,Operating_System,,PriceGradeA,PriceGradeB,PriceGradeC,Action
ASUS,4GB,SATA,750GB,Intel Core i3,Windows 7,"ASUS A43S 14INC"" Intel Core i3",1.100.000,900.000,750.000,
ASUS,4GB,SATA,500GB,Intel Core i3,Windows 10,"ASUS X441U/M 14inc"" AQUA BLUE Intel Core i3",2.000.000,1.800.000,1.450.000,
ASUS,2GB,SATA,500GB,Intel Celeron N3060,Windows,"ASUS X441SA 14INC"" Intel Celeron N3060",1.750.000,1.400.000,1.150.000,
ASUS,2GB,SATA,500GB,Intel Core i3,Windows,"ASUS X450C 14inc"" intel Core i3",1.400.000,1.150.000,900.000,
ASUS,4GB,SATA,1TB,Intel Core i7,Windows,"ASUS X450C 14inc"" intel Core i7",1.600.000,1.300.000,1.050.000,
ASUS,4GB,HDD,1TB,Intel Core i5,Windows 10,"ASUS X456U 14inc"" INTEL CORE i5",3.200.000,2.800.000,2.250.000,
ASUS,8GB,HDD,1TB,Intel Core i7,Windows 10,ASUS X456UR INTEL CORE i7,3.500.000,3.050.000,2.450.000,
ASUS,8GB,HDD,1TB,Intel Core i7,Windows 10,"ASUS FX553VD 15inc"" intel Core i7",5.000.000,4.100.000,3.300.000,
ASUS,4GB,,1TB,Intel celeron N4000,Windows 10,"ASUS A407MA 14INC"" intel celeron N4000",2.000.000,1.800.000,1.650.000,
ASUS,8GB,SSD,512GB,Intel Core i5,Windows 10,"ASUS K403FA fingerprint 14inc"" INTEL CORE I5",4.500.000,3.600.000,2.900.000,
ASUS,2GB,HDD,320GB,Intel Core i5,windows 7,"ASUS X44H 14inc"" intel core i5",1.200.000,1.000.000,900.000,
ASUS,4GB,HDD,500GB,Intel Core i5,Windows 10,"ASUS A45V 14INC"" INTEL CORE I5",1.500.000,1.300.000,1.100.000,
ASUS,8GB,SSD,512GB,Intel Core i7,windows 10,"ASUS UM431DA/AM501T 14inc"" Core i7",5.500.000,4.400.000,3.500.000,
ASUS,4GB,HDD,1TB,Intel Core i5/i7,windows 10,"ASUS A456UQ 14Inc"" Intel Core i5/i7",4.400.000,3.500.000,2.800.000,
ASUS,4GB,SSD,512GB,Intel Core i5,windows 10,"ASUS Ultra A412FL 14inc"" Core i5",4.000.000,3.450.000,2.750.000,
ASUS,8GB,HDD,1TB,Intel Core i7,Windows 10,"ASUS X550ZE 14inc"" intel Core i7",3.000.000,2.400.000,1.950.000,
ASUS,2GB,HDD,500GB,Intel Core i5,Windows 10,ASUS X455LA Intel Core I5,1.700.000,1.400.000,1.100.000,
Lenovo,4GB,HDD,500GB,Intel Core i3,windows 10,"Lenovo ideapad 320 AMD A4 14inc"" i3",2.200.000,1.800.000,1.450.000,
Lenovo,16GB,,1TB,,Windows 10,"Lenovo G40-45 AMD E1 14inc""",1.300.000,1.050.000,850.000,
Lenovo,4GB,HDD,1TB,,Windows 10,"Lenovo Yoga 520 14inc"" HD Touch Screen",3.500.000,2.800.000,2.250.000,
Lenovo,4GB,HDD,320GB,Intel Core i5,Windows 7,"Lenovo ThinkPad X230 14inc"" i5",1.850.000,1.500.000,1.200.000,
