Brand,Ram,Jenis_Storage,Storages,Processor,Operating_System,,PriceGradeA,PriceGradeB,PriceGradeC,Action
Lenovo,4GB,HDD,320GB,Intel Core i5,Windows 10,"Lenovo ThinkPad T420 14inc"" i5",1.850.000,1.450.000,1.200.000,
Lenovo,2GB,HDD,500GB,Intel Core i3,windows 10,"Lenovo ideapad 100 14inc"" i3",1.200.000,950.000,800.000,
Lenovo,2GB,HDD,500GB,,Windows 10,Lenovo IdeaPad IP 300,1.600.000,1.300.000,1.000.000,
Lenovo,2GB,SATA,500GB,Intel Core i3,Windows 10,"Lenovo G480 14inc"" core i3",1.250.000,1.000.000,800.000,
Lenovo,4GB,HDD,320GB,Intel Core i5,Windows 10,"Lenovo T410 14inc"" i5",1.550.000,1.250.000,950.000,
Lenovo,8GB,SSD,256GB,Intel Core i3,Windows 10,"Lenovo V310 14inc"" core i3",3.150.000,2.500.000,2.000.000,
Lenovo,2GB,SATA,500GB,Intel HM70,Windows 10,"Lenovo B490 14inc"" Intel HM70",1.150.000,900.000,700.000,
Lenovo,4GB,HDD,320GB,Intel Core i7,Windows 10,"Lenovo ThinkPad X220 12inc GEn2"" i7",1.500.000,1.200.000,950.000,
Lenovo,4GB,SATA,320GB,Intel Core i3,Windows 7,Lenovo G400S Intel Core i3 Gen 3,1.350.000,1.050.000,850.000,
Lenovo,4GB,HDD,500GB,,Windows 10,"Lenovo Thinkpad T440 Slim 14inc""",2.600.000,2.100.000,1.650.000,
Lenovo,4GB,,250GB,Intel Core i5,Windows 10,"Lenovo Thinkpad X201 12inc"" core i5",1.600.000,1.250.000,1.000.000,
Acer,4GB,HDD,256GB,,Windows 10,"Acer Aspire 3 AMD A9 Ultra slim 14inc""",2.500.000,2.000.000,1.600.000,
Acer,4GB,,1TB,Intel Core i3,Windows 10,Acer Aspire E5-475G intel i3,2.800.000,2.250.000,1.800.000,
Acer,2GB,HDD,320GB,,Windows 7,"Acer Aspire One D270 10Inc""",875.000,700.000,550.000,
Acer,4GB,HDD,500GB,,Windows 10,"Acer Aspire ES1-132 11inc""",1.700.000,1.350.000,1.100.000,
Acer,4GB,HDD,500GB,,Windows 10,"Acer Aspire E5-473G 14inc""",2.350.000,1.900.000,1.500.000,
Acer,4GB,HDD,500GB,,Windows 7,Acer Aspire Z3-451 Slim,1.950.000,1.600.000,1.250.000,
Acer,2GB,,500GB,,Windows 7,"Acer E1-422 14Inc""",1.600.000,1.300.000,1.000.000,
Acer,4GB,,500GB,,Windows 10,"Acer Spin 1 SP111-33-C3E4 11inc""Touch",1.900.000,1.500.000,1.200.000,
Acer,4GB,HDD,500GB,Intel Core i3,Windows 10,"Acer One Z1402 14inc""",2.100.000,1.700.000,1.350.000,
Acer,4GB,HDD,500GB,,Windows 10,"Acer Aspire E5-471 14inc""",1.850.000,1.450.000,1.200.000,
Acer,4GB,,500GB,,Windows 8,"Acer Aspire E1-470 14inc""",1.400.000,1.150.000,1.000.000,
Acer,4GB,HDD,500GB,,Windows 8,"Acer E5-421 14inc""",1.700.000,1.350.000,1.100.000,
Acer,4GB,,1TB,Intel Core i3,Windows 10,"Acer Aspire 5 A514-51K 14inc"" i3",2.650.000,2.150.000,1.700.000,
Dell,4GB,,500GB,,Windows 10,"Dell Latitude 14"" E6430 i5",1.400.000,1.250.000,1.100.000,
Dell,4GB,,500GB,,Windows 10,Dell Latitude E6420 i5 2520M,1.200.000,1.050.000,900.000,
Dell,8GB,,240GB,Intel Core i5,Windows 10,Dell Latitude E5470 Core i5,3.000.000,2.850.000,2.700.000,
Dell,4GB,,1TB,Intel Core i3,Windows 10,Dell Inspiron 5482 Core i3,4.800.000,4.650.000,4.500.000,
Dell,8GB,,500GB,Intel Core i5,Windows,Dell inspiron 3458 Intel Core i5-5200U,2.800.000,2.650.000,2.500.000,
Dell,2GB,HDD,120GB,Intel Core i7,Windows,"Dell XPS 13 9350 11inc"" Touchscreen Intel Core i7 6th Gen",6.400.000,6.250.000,6.100.000,
Dell,8GB,,256GB,,Windows 10,Dell XPS 13 9370 I7-8550,4.900.000,4.750.000,4.600.000,
Dell,4GB,,500GB,Intel Celeron 2957,Windows,Dell Inspiron 3442 Intel Celeron 2957,1.450.000,1.300.000,1.150.000,
Dell,4GB,,500GB,Intel Core i7,Windows,Dell inspiron 3443 core i7,1.300.000,1.150.000,1.000.000,
Dell,4GB,,500GB,Intel Core i5,Windows 10,Dell Vostro 5480 14inc'' core i5,3.000.000,2.850.000,2.700.000,
HP,4GB,,1TB,,Windows 10,"Hp Laptop Pav X360 14-DH0035TX 14inc""",3.500.000,2.800.000,2.250.000,
HP,4GB,HDD,320GB,,Windows 10,"Hp Elitebook 8440p 14 inc""",1.500.000,1.200.000,950.000,
HP,4GB,HDD,320GB,,Windows 10,"hp elitebook 8470p 14inc""",1.950.000,1.550.000,1.250.000,
HP,4GB,HDD,320GB,,Windows 10,"HP EliteBook 8460p 14inc""",1.800.000,1.450.000,1.150.000,
HP,8GB,HDD,320GB,,Windows 10,"Hp Ultrabook folio 9470m - 3427U 14inc""",2.250.000,1.800.000,1.450.000,
HP,8GB,,1TB,Intel Core i7,Windows 10,HP ProBook 430 G3 Core i7-8550u,5.150.000,4.100.000,3.300.000,
HP,4GB,HDD,320GB,Intel Core i5,Windows 7,"HP Probook 4330s Intel core i5 - Gen 2 14inc""",1.400.000,1.150.000,950.000,
HP,8GB,HDD,500GB,,Windows 10,"HP Elitebook 820 G2 Core i7-5500U 2,4GHz 12inc""",3.200.000,2.850.000,2.300.000,
