Brand,Jenis_Tv,inch,priceGradeA,priceGradeB,priceGradeC
Coocaa,LED,"40"" inch",800.000,650.000,550.000
Coocaa,LED,"42"" inch",1.200.000,1.000.000,850.000
Coocaa,LED,"55"" inch",2.000.000,1.700.000,1.400.000
Coocaa,Smart TV,"32"" inch",800.000,650.000,550.000
Coocaa,Smart TV,"40"" inch",1.100.000,900.000,750.000
Coocaa,Smart TV,"42"" inch",1.400.000,1.150.000,950.000
Coocaa,Smart TV,"55"" inch",2.200.000,1.850.000,1.550.000
TCL,LED,"32"" inch",600.000,500.000,400.000
TCL,LED,"40"" inch",800.000,650.000,550.000
TCL,LED,"42"" inch",1.200.000,1.000.000,850.000
TCL,LED,"55"" inch",2.000.000,1.700.000,1.400.000
TCL,Smart TV,"32"" inch",800.000,650.000,550.000
TCL,Smart TV,"40"" inch",1.100.000,900.000,750.000
TCL,Smart TV,"42"" inch",1.400.000,1.150.000,950.000
TCL,Smart TV,"55"" inch",2.200.000,1.850.000,1.550.000
Akari,LED,"32"" inch",600.000,500.000,400.000
Akari,LED,"40"" inch",800.000,650.000,550.000
Akari,LED,"42"" inch",1.200.000,1.000.000,850.000
Akari,LED,"55"" inch",2.000.000,1.700.000,1.400.000
Akari,Smart TV,"32"" inch",800.000,650.000,550.000
Akari,Smart TV,"40"" inch",1.100.000,900.000,750.000
Akari,Smart TV,"42"" inch",1.400.000,1.150.000,950.000
Akari,Smart TV,"55"" inch",2.200.000,1.850.000,1.550.000
