Brand,Ram,Jenis_Storage,Storages,Processor,Operating_System,,PriceGradeA,PriceGradeB,PriceGradeC,Action
Dell,4GB,,500GB,Intel Core i7,Windows,,Rp 1.300.000,Rp 1.150.000,Rp 1.000.000,
Dell,4GB,,500GB,Intel Core i5,Windows 10,,Rp 3.000.000,Rp 2.850.000,Rp 2.700.000,
HP,4GB,,1TB,,Windows 10,,Rp 3.500.000,Rp 2.800.000,Rp 2.250.000,
HP,4GB,HDD,320GB,,Windows 10,,Rp 1.500.000,Rp 1.200.000,Rp 950.000,
HP,4GB,HDD,320GB,,Windows 10,,Rp 1.950.000,Rp 1.550.000,Rp 1.250.000,
HP,4GB,HDD,320GB,,Windows 10,,Rp 1.800.000,Rp 1.450.000,Rp 1.150.000,
HP,8GB,HDD,320GB,,Windows 10,,Rp 2.250.000,Rp 1.800.000,Rp 1.450.000,
HP,8GB,,1TB,Intel Core i7,Windows 10,,Rp 5.150.000,Rp 4.100.000,Rp 3.300.000,
HP,4GB,HDD,320GB,Intel Core i5,Windows 7,,Rp 1.400.000,Rp 1.150.000,Rp 950.000,
HP,8GB,HDD,500GB,,Windows 10,,Rp 3.200.000,Rp 2.850.000,Rp 2.300.000,
